,Location,feature,r,column_id
0,Australian Capital Territory,lag_1,-0.008849557522123895,1
1,New South Wales,lag_1,-0.06125111176993779,1
2,Queensland,lag_1,-0.027027027027027,1
3,South Australia,lag_1,-0.017857142857142926,1
4,Victoria,lag_1,-0.12383381017539508,1
5,Western Australia,lag_1,-0.04587155963302751,1
6,Australian Capital Territory,lag_2,-0.00884955752212386,2
7,New South Wales,lag_2,-0.013934183219685745,2
8,Queensland,lag_2,-0.027027027027027015,2
9,South Australia,lag_2,-0.017857142857142932,2
10,Victoria,lag_2,0.26968528423933325,2
11,Western Australia,lag_2,0.16330275229357816,2
12,Australian Capital Territory,lag_3,-0.008849557522123895,3
13,New South Wales,lag_3,-0.10180847909872523,3
14,Queensland,lag_3,-0.027027027027027,3
15,South Australia,lag_3,-0.017857142857142926,3
16,Victoria,lag_3,-0.1273790272421944,3
17,Western Australia,lag_3,-0.04587155963302751,3
18,Australian Capital Territory,lag_4,-0.008849557522123862,4
19,New South Wales,lag_4,-0.06125111176993778,4
20,Queensland,lag_4,-0.027027027027026976,4
21,South Australia,lag_4,-0.017857142857142926,4
22,Victoria,lag_4,-0.12737902724219435,4
23,Western Australia,lag_4,-0.04587155963302751,4
24,Australian Capital Territory,lag_5,-0.008849557522123894,5
25,New South Wales,lag_5,0.03338274533056626,5
26,Queensland,lag_5,-0.027027027027026976,5
27,South Australia,lag_5,-0.01785714285714292,5
28,Victoria,lag_5,0.28741136957333013,5
29,Western Australia,lag_5,0.16330275229357813,5
30,Australian Capital Territory,lag_6,-0.008849557522123862,6
31,New South Wales,lag_6,-0.07866402684923418,6
32,Queensland,lag_6,-0.03134965682110381,6
33,South Australia,lag_6,-0.017857142857142926,6
34,Victoria,lag_6,-0.11319815897499695,6
35,Western Australia,lag_6,-0.04587155963302751,6
36,Australian Capital Territory,lag_7,-0.008849557522123894,7
37,New South Wales,lag_7,0.23243262231923054,7
38,Queensland,lag_7,0.26647208297938285,7
39,South Australia,lag_7,-0.017857142857142915,7
40,Victoria,lag_7,0.6667495957208609,7
41,Western Australia,lag_7,0.5816513761467892,7
42,Australian Capital Territory,lag_8,-0.008849557522123862,8
43,New South Wales,lag_8,-0.1395307625561077,8
44,Queensland,lag_8,-0.03134965682110381,8
45,South Australia,lag_8,-0.017857142857142926,8
46,Victoria,lag_8,-0.08838163950740145,8
47,Western Australia,lag_8,-0.04587155963302755,8
48,Australian Capital Territory,lag_9,-0.008849557522123894,9
49,New South Wales,lag_9,0.08364726836909525,9
50,Queensland,lag_9,-0.031349656821103807,9
51,South Australia,lag_9,-0.017857142857142915,9
52,Victoria,lag_9,0.1456026869013559,9
53,Western Australia,lag_9,-0.04587155963302756,9
54,Australian Capital Territory,lag_10,-0.008849557522123864,10
55,New South Wales,lag_10,-0.1395307625561077,10
56,Queensland,lag_10,-0.0313496568211038,10
57,South Australia,lag_10,-0.017857142857142926,10
58,Victoria,lag_10,-0.12265607327532614,10
59,Western Australia,lag_10,-0.04377562521837513,10
60,Australian Capital Territory,lag_11,-0.008849557522123897,11
61,New South Wales,lag_11,-0.11247888001971945,11
62,Queensland,lag_11,-0.0313496568211038,11
63,South Australia,lag_11,-0.017857142857142915,11
64,Victoria,lag_11,-0.12265607327532617,11
65,Western Australia,lag_11,-0.043775625218375136,11
66,Australian Capital Territory,lag_12,-0.00884955752212387,12
67,New South Wales,lag_12,0.10600487152308602,12
68,Queensland,lag_12,-0.026054142726962798,12
69,South Australia,lag_12,-0.017857142857142926,12
70,Victoria,lag_12,0.2158223099152096,12
71,Western Australia,lag_12,0.014240158513063341,12
72,Australian Capital Territory,lag_13,-0.008849557522123897,13
73,New South Wales,lag_13,0.06949564084746124,13
74,Queensland,lag_13,-0.02605414272696285,13
