country_region_id,country_code,region_name
GBR_0,GBR,Guy's and St Thomas Hospital London
GBR_0,GBR,Guy's and St Thomas Hospital London
GBR_1,GBR,London
GBR_1,GBR,London
GBR_1,GBR,London
GBR_1,GBR,London
GBR_2,GBR,Newcastle
PRT_0,PRT,Lisbon
PRT_0,PRT,Lisbon
PRT_0,PRT,Lisbon
PRT_0,PRT,Lisbon
PRT_0,PRT,Lisbon
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
PRT_1,PRT,Lisbon and Tagus Valley
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
ESP_0,ESP,"Sandoval Health Center, Madrid"
USA_0,USA,"Massachusetts General Hospital, Boston, Massachusetts"
GBR_1,GBR,London
GBR_3,GBR,South East
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
SWE_0,SWE,Stockholm Region
ITA_0,ITA,"Spallanzani Hospital, Rome, Lazio"
ESP_2,ESP,"Gran Canaria, Canary Islands"
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
ITA_0,ITA,"Spallanzani Hospital, Rome, Lazio"
ITA_0,ITA,"Spallanzani Hospital, Rome, Lazio"
FRA_0,FRA,île-de-France
PRT_2,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
BEL_0,BEL,"Antwerp, Flanders"
BEL_0,BEL,"Antwerp, Flanders"
USA_1,USA,"Bellevue Hospital, New York City, New York"
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
CAN_0,CAN,Quebec
AUS_0,AUS,New South Wales
AUS_1,AUS,Victoria
BEL_0,BEL,"Antwerp, Flanders"
DEU_0,DEU,
ESP_3,ESP,"Costa del Sol, Andalusia"
ESP_4,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
GBR_4,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_5,ESP,Canary Islands
ESP_6,ESP,Castilla-La Mancha
ESP_7,ESP,Galicia
ESP_8,ESP,Extremadura
NLD_0,NLD,
ESP_9,ESP,Basque Country
ISR_0,ISR,Ichilov Hospital
ESP_10,ESP,"Barcelona, Catalonia"
DEU_1,DEU,Berlin
CHE_0,CHE,Bern
DEU_0,DEU,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_0,ESP,
ESP_11,ESP,Andalusia
ESP_11,ESP,Andalusia
ESP_11,ESP,Andalusia
ESP_12,ESP,"Seville, Andalusia"
CAN_1,CAN,Ontario
GRC_0,GRC,
ISR_1,ISR,
ESP_0,ESP,
AUT_0,AUT,
BEL_1,BEL,Wallonia
NLD_0,NLD,
USA_2,USA,"Broward County, Florida"
ARG_0,ARG,
DNK_0,DNK,
ITA_1,ITA,"Spallanzani Hospital, Arezzo, Tuscany"
ESP_7,ESP,Galicia
ESP_7,ESP,Galicia
ESP_13,ESP,"Castellon, Valencian Community"
ESP_14,ESP,Valencian Community
ESP_15,ESP,Gran Canaria
ESP_15,ESP,Gran Canaria
ESP_15,ESP,Gran Canaria
ESP_15,ESP,Gran Canaria
PRT_0,PRT,
PRT_0,PRT,
PRT_0,PRT,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
USA_3,USA,"Salt Lake County, Utah"
USA_3,USA,"Salt Lake County, Utah"
DEU_2,DEU,Ortenaukreis
ESP_16,ESP,"Fuerteventura, Canary Islands"
NLD_0,NLD,
NLD_0,NLD,
NLD_0,NLD,
NLD_0,NLD,
FRA_0,FRA,île-de-France
FRA_0,FRA,île-de-France
ESP_11,ESP,Andalusia
MAR_0,MAR,
MAR_0,MAR,
MAR_0,MAR,
DEU_0,DEU,
DEU_3,DEU,Jerichower Land
USA_2,USA,"Broward County, Florida"
USA_4,USA,"King County, Washington"
SVN_0,SVN,
GBR_0,GBR,
CZE_0,CZE,
FRA_1,FRA,"Lyon, Auvergne-Rhone-Alpes"
ESP_17,ESP,"Malaga, Andalusia"
ESP_11,ESP,Andalusia
ESP_11,ESP,Andalusia
ESP_12,ESP,"Seville, Andalusia"
ESP_18,ESP,"Cadiz, Andalusia"
ARE_0,ARE,
USA_5,USA,"Sacramento County, California"
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
GBR_0,GBR,
CHE_1,CHE,Geneva Canton
DEU_4,DEU,"Frankfurt, Hesse"
ITA_2,ITA,"Sacco Hospital, Milan"
ITA_3,ITA,"Palermo, Sicilia"
ITA_4,ITA,"Canicatti, Sicilia"
ESP_15,ESP,Gran Canaria
ESP_15,ESP,Gran Canaria
ESP_15,ESP,Gran Canaria
FRA_2,FRA,"Toulouse, Occitanie"
PRT_0,PRT,
PRT_0,PRT,
DEU_0,DEU,
DEU_0,DEU,
DEU_0,DEU,
DEU_0,DEU,
DEU_0,DEU,
DEU_2,DEU,Ortenaukreis
ESP_19,ESP,Catalonia
ESP_19,ESP,Catalonia
ESP_19,ESP,Catalonia
ESP_19,ESP,Catalonia
ESP_19,ESP,Catalonia
ESP_19,ESP,Catalonia
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
ESP_1,ESP,Madrid
FIN_0,FIN,
NLD_0,NLD,
NLD_0,NLD,
NLD_0,NLD,
NLD_0,NLD,
