symp_id,symp_name
symp_0,rash
symp_1,lesion
symp_2,fever
symp_3,papule
symp_4,swollen lymph node
symp_5,slight swallowing difficulties and an elevated temperature
symp_6,pustule
symp_7,cough
symp_8,muscle ache
symp_9,blister
symp_10,difficulty breathing
symp_11,headache
symp_12,severe anemia
symp_13,fatigue
symp_14,dysphagia
symp_15,decreased physical strength
symp_16,outbreak on the skin
symp_19,chills
symp_20,itch
symp_21,back pain
symp_22,chilling
symp_23,sore throat
symp_24,general discomfort
symp_25,vesicles
symp_26,mild symptoms
symp_27,characteristic symptoms of monkeypox
symp_28,swelling
symp_29,diarrhea
symp_30,skin manifestations
symp_31,pain urinating
symp_32,loss of appetite
symp_33,postules
symp_34,encephalitis
symp_35,symptoms compatible with monkeypox
symp_36,general weakness
symp_37,joint pain
symp_38,red bumps
symp_42,severe sore throat
symp_43,difficulty swallowing
