,Symptoms,Cases,percentage
0,lesion,120,59.11330049261084
1,rash,61,30.049261083743843
2,fever,77,37.93103448275862
3,blister,11,5.41871921182266
4,headache,22,10.83743842364532
5,papule,6,2.955665024630542
6,pustule,9,4.433497536945813
7,muscle ache,23,11.330049261083744
8,fatigue,19,9.35960591133005
9,swollen lymph node,12,5.911330049261084
10,sore throat,3,1.477832512315271
11,skin manifestations,4,1.9704433497536946
12,chills,2,0.9852216748768473
13,loss of appetite,1,0.49261083743842365
14,pain urinating,1,0.49261083743842365
15,slight swallowing difficulties and an elevated temperature,1,0.49261083743842365
16,swelling,1,0.49261083743842365
17,diarrhea,2,0.9852216748768473
18,cough,2,0.9852216748768473
19,encephalitis,2,0.9852216748768473
20,difficulty breathing,1,0.49261083743842365
21,general discomfort,1,0.49261083743842365
22,asthenia,1,0.49261083743842365
23,outbreak on the skin,1,0.49261083743842365
24,general weakness,1,0.49261083743842365
25,mild symptoms,1,0.49261083743842365
26,itching,2,0.9852216748768473
27,severe anemia,1,0.49261083743842365
28,dysphagia,1,0.49261083743842365
29,decreased physical strength,1,0.49261083743842365
