,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
669023,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-07,-12.0,-1.0,-27.0,-37.0,-12.0,5.0
669024,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-08,-17.0,-1.0,-47.0,-40.0,-11.0,7.0
669025,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-09,-7.0,6.0,-33.0,-36.0,-11.0,5.0
669026,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-10,-5.0,4.0,-34.0,-19.0,-7.0,3.0
669027,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-11,-8.0,1.0,-37.0,-33.0,-13.0,3.0
669028,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-12,-15.0,0.0,-31.0,-41.0,-10.0,6.0
669029,AU,Australia,Victoria,,,AU-VIC,,ChIJT5UYfksx1GoRNJWCvuL8Tlo,2022-09-13,-14.0,0.0,-40.0,-39.0,-12.0,5.0
669599,AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2022-09-07,,,,,-1.0,
669600,AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2022-09-08,,,,,5.0,
669601,AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2022-09-09,,,,,10.0,
669602,AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2022-09-12,,,,,17.0,
669603,AU,Australia,Victoria,Alpine Shire,,,,ChIJC8XIj5EoJGsRU810o5_W3Fg,2022-09-13,,,,,4.0,
